GUCI;TitleVONDELHABAND_-NAT00Z04Y2N;Halsbandparkieten in het voorjaar in het Vondelpark
0002GRMANTELM-NAT00Z03NZ3;Jonge grote mantelmeeuw etend op ijs
0000KEMPHAAN0-NAT00Z03NQQ;Kemphaan op het ijs
0002KUIFEEND0-NAT00Z03NZO;Grote groep kuifeenden
0000TAFELEEND-NAT00Z03NTR;Baltsende en poetsende tafeleend
0000PUTTER000-NAT00Z03NSN;Putters op distelzaden
0001WATERSNIP-NAT00Z03NYE;Foeragerende watersnip in sneeuw en ijs
0000ZWKOPMEEU-NAT00Z03NV3;Juveniele zwartkopmeeuw
0000ZWARTWOUW-NAT00Z03NV1;Overvliegende en zittende zwarte wouw
0000MATKOP000-NAT00Z03NRX;Matkop op vogelvoer en in wilg
483A_1_KOLGAN-NAT00Z013JD;Kolganzen
590A_3_KIPPEN-NAT00Z013NA;Kippen op een boerenerf
900413_1_BUIM-NAT00Z02H74;Buidelmees aan de nestbouw
060501_1_MERE-NAT00Z02H27;Merel in diverse tuinen
0000BOSUIL001-NAT00Z03NOL;Bosuil in knotwilg
0000BOOMKRUIP-NAT00Z03NOF;Boomkruiper
0002KOKMEEUW0-NAT00Z03NZJ;Juveniele kokmeeuw
0001MEERKOET0-NAT00Z03NWY;Grazende meerkoeten
0000REUZENSTE-NAT00Z03NSR;Reuzenstern op onder gelopen bollenveld
0001TURELUUR0-NAT00Z03NY0;Tureluur alarmerend
16A_3_KOEKOEK-NAT00Z00UDI;Koekoek
220A_3_ZWRMVO-NAT00Z00UI6;Grote zwerm kieviten
208A_3_FAZANT-NAT00Z00UI5;Fazanthaan
070201_8_HUMU-NAT00Z02H2M;Mannetjes en vrouwtjes huismus op tak
0000TJIFTJAF0-NAT00Z03NTU;Zingende tjiftjaf
SP036LANDSBK6-NAT00Z05775;Blauwe Kamer: ganzen in slow motion
910103_2_SNEG-NAT00Z02H7B;Sneeuwgors op dijk
